id,brand,model,discipline,modelYear,priceText,productUrl,geometryKey
cannondale_topstone_carbon,Cannondale,Topstone Carbon 2 L,,,3000.0,https://www.cannondale.com/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-2-l,Topstone Carbon
cannondale_topstone_carbon,Cannondale,Topstone Carbon 4,,,2349.0,https://www.cannondale.com/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-4-c15402u,Topstone Carbon
cannondale_synapse_carbon,Cannondale,Synapse LAB71 Frameset,,,5999.0,https://www.cannondale.com/en-us/bikes/road/endurance/synapse-carbon/synapse-lab71-frameset,Synapse Carbon
cannondale_supersix_evo_cx,Cannondale,SuperSix EVO CX/SE Frameset,,,2725.0,https://www.cannondale.com/en-us/bikes/road/cyclocross/supersix-evo-cx/supersix-evo-cx-se-frameset-c11381u,SuperSix EVO CX
cannondale_topstone_alloy,Cannondale,Topstone 4,,,1175.0,https://www.cannondale.com/en-us/bikes/road/gravel/topstone-alloy/topstone-4-c15902u,Topstone Alloy
cannondale_supersix_evo,Cannondale,SuperSix EVO Hi-MOD 1,,,13500.0,https://www.cannondale.com/en-us/bikes/road/race/supersix-evo/supersix-evo-hi-mod-1/2023,SuperSix EVO
cannondale_synapse,Cannondale,Synapse 2,,,1799.0,https://www.cannondale.com/en-us/bikes/road/endurance/synapse/synapse-2,Synapse
cannondale_synapse_carbon,Cannondale,Synapse LAB71 SmartSense,,,16499.0,https://www.cannondale.com/en-us/bikes/road/endurance/synapse-carbon/synapse-lab71-smartsense,Synapse Carbon
cannondale_synapse_carbon,Cannondale,Synapse Carbon 5,,,3199.0,https://www.cannondale.com/en-us/bikes/road/endurance/synapse-carbon/synapse-carbon-5,Synapse Carbon
cannondale_synapse_carbon,Cannondale,Synapse Carbon 4,,,4199.0,https://www.cannondale.com/en-us/bikes/road/endurance/synapse-carbon/synapse-carbon-4,Synapse Carbon
cannondale_synapse_carbon,Cannondale,Synapse Carbon 3 SmartSense,,,4999.0,https://www.cannondale.com/en-us/bikes/road/endurance/synapse-carbon/synapse-carbon-3-smartsense,Synapse Carbon
